Station code ,Station name
AGC     ,Agra Cantt
ADI     ,Ahmedabad Junction
AII     ,Ajmer Junction
AK      ,Akola Junction
UMB     ,Ambala Cantt Junction
ASR     ,Amritsar Junction
ASN     ,Asansol Junction
AWB     ,Aurangabad
BE      ,Bareilly Junction
BGP     ,Bhagalpur Junction
BPL     ,Bhopal Junction
BBS     ,Bhubaneswar
BSL     ,Bhusaval Junction
BSP     ,Bilaspur Junction
CDG     ,Chandigarh Junction
MAS     ,Chennai Central
CPR     ,Chhapra Junction
CSMT    ,Chhatrapati Shivaji Maharaj Terminus
CBE     ,Coimbatore Main Junction
CTC     ,Cuttack Junction
DBG     ,Darbhanga Junction
DDN     ,Dehradun
DHN     ,Dhanbad Junction
DURG    ,DURG
ERS     ,Ernakulam Junction
ED      ,Erode Junction
GAYA    ,Gaya Junction
GZB     ,Ghaziabad Junction
GKP     ,Gorakhpur Junction
GNT     ,Guntur Junction
GHY     ,Guwahati
GWL     ,Gwalior Junction
HW      ,Haridwar
HTE     ,Hatia
NED     ,Hazur Sahib Nanded
HWH     ,Howrah Junction
UBL     ,Hubli Junction
INDB    ,Indore Junction
JBP     ,Jabalpur Junction
JP      ,Jaipur Junction
JUC     ,Jalandhar City Junction
JAT     ,Jammu Tawi
JHS     ,Jhansi Junction
JU      ,Jodhpur Junction
CNB     ,Kanpur Central
KIR     ,Katihar Junction
KTE     ,Katni Junction
KPD     ,Katpadi Junction
KGP     ,Kharagpur Junction
QLN     ,Kollam Junction
KOTA    ,Kota Junction
CLT     ,Kozhikode Main
SBC     ,Ksr Bengaluru City
LKO     ,Lucknow Charbagh Nr
LDH     ,Ludhiana Junction
MAO     ,Madgaon Junction
MDU     ,Madurai Junction
MLDT    ,Malda Town
MAQ     ,Mangaluru Central
MMR     ,Manmad Junction
MTJ     ,Mathura Junction
MB      ,Moradabad Junction
MGS     ,Mughal Sarai Junction
BCT     ,Mumbai Central
CSTM    ,Mumbai Csm Terminus
MFP     ,Muzaffarpur Junction
MYS     ,Mysuru Junction
NGP     ,Nagpur Junction
NK      ,Nasik Road
NLR     ,Nellore
NDLS    ,New Delhi
NJP     ,New Jalpaiguri Junction
PGT     ,Palakkad Junction
PNBE    ,Patna Junction
PRYJ    ,Prayagraj Jn
PUNE    ,Pune Junction
PURI    ,Puri
R       ,Raipur Junction
RJY     ,Rajahmundry
RJT     ,Rajkot Junction
RNC     ,Ranchi Junction
RTM     ,Ratlam Junction
ROU     ,Rourkela Junction
SA      ,Salem Junction
STA     ,Satna Junction
SC      ,Secunderabad Junction
SV      ,Siwan Junction
SUR     ,Solapur
ST      ,Surat
TATA    ,Tatanagar Junction
TVC     ,Thiruvananthapuram Central
TCR     ,Thrissur
TPJ     ,Tiruchchirappalli Junction
TEN     ,Tirunelveli Junction
TPTY    ,Tirupati Main
UDZ     ,Udaipur
UJN     ,Ujjain Junction
BRC     ,Vadodara Junction
VAPI    ,Vapi
BSB     ,Varanasi Junction
BZA     ,Vijayawada Junction
VSKP    ,Visakhapatnam Junction
