Train Number,Train Name,Source Station Code,Source Station Name,Destination Station Code,Destination Station Name
52546,JOYRIDE DIESEL,DJ,Darjeeling,DJRZ,To Darjeeling
52547,JOYRIDE STEAM,DJ,Darjeeling,DJRZ,To Darjeeling
52548,JOYRIDE STEAM,DJ,Darjeeling,DJRZ,To Darjeeling
52549,JOYRIDE STEAM,DJ,Darjeeling,DJRZ,To Darjeeling
52551,JUNGLE SAFARI,SGUJ,Siliguri Jn,SGUD,Siliguri
52570,RED PANDA,DJ,Darjeeling,KGN,Kurseong
52571,RED PANDA,KGN,Kurseong,DJ,Darjeeling
52573,Himalayan Wheel,KGN,Kurseong,KGND,To Kurseong
52574,JOYRIDE DIESEL,DJ,Darjeeling,DJRZ,To Darjeeling
52575,JOYRIDE DIESEL,DJ,Darjeeling,DJRZ,To Darjeeling
