Train Number,Train Name,From Station,To Station
01091,KNW SWD SPL,KHANDWA,SANAWAD
01092,SWD KNW SPL,SANAWAD,KHANDWA
01203,NGP AMLA MEMU SPL,NAGPUR,AMLA JN
01204,AMLA NGP MEMU SPL,AMLA JN,NAGPUR
01211,BD NK SPL,BADNERA JN,NASIK ROAD
01212,NK BD SPL,NASIK ROAD,BADNERA JN
01303,CSN DHI MEMU,CHALISGAON JN,DHULE
01304,DHI CSN MEMU,DHULE,CHALISGAON JN
01307,CSN DHI MEMU SPL,CHALISGAON JN,DHULE
01308,DHI CSN MEMU SPL,DHULE,CHALISGAON JN
01309,CSN DHI MEMU SPL,CHALISGAON JN,DHULE
01310,DHI CSN MEMU SPL,DHULE,CHALISGAON JN
01313,CSN DHI PASS SPL,CHALISGAON JN,DHULE
01314,DHI CSN PASS SPL,DHULE,CHALISGAON JN
01315,WR BPQ MEMU SPL,WARDHA JN,BALHARSHAH
01316,BPQ WR MEMU SPL,BALHARSHAH,WARDHA JN
01317,AMLA ET MEMU SPL,AMLA JN,ITARSI JN
01318,ET AMLA MEMU SPL,ITARSI JN,AMLA JN
01319,AMLA CWA MEMU SPL,AMLA JN,CHHINDWARA JN
01320,CWA AMLA MEMU SPL,CHHINDWARA JN,AMLA JN
01321,AMLA CWA MEMU SPL,AMLA JN,CHHINDWARA JN
01322,CWA AMLA MEMU SPL,CHHINDWARA JN,AMLA JN
01323,NGP AMLA MEMU SPL,NAGPUR,AMLA JN
01324,AMLA NGP MEMU SPL,AMLA JN,NAGPUR
01337,BOR BSR MEMU SPL,BOISAR,VASAI ROAD
01338,DCTL BOR MEMU SPL,DOMBIVLI CONTROL CABIN,BOISAR
01339,BSR DIVA MEMU SPL,VASAI ROAD,DIVA
01340,DIVA BSR MEMU SPL,DIVA,VASAI ROAD
01341,BSR DIVA MEMU SPL,VASAI ROAD,DIVA
01342,DIVA BSR MEMU SPL,DIVA,VASAI ROAD
01343,BSR DIVA MEMU SPL,VASAI ROAD,DIVA
01344,DIVA BSR MEMU SPL,DIVA,VASAI ROAD
